"word","freq"
"unknown",44142
"motive",30143
"specific",29665
"attack",28951
"however",9980
"sources",8411
"claimed",3368
"stated",3157
"noted",3139
"responsibility",3004
"part",2796
"targeted",2727
"incident",2681
"carried",2665
"suspected",2282
"violence",2215
"government",2182
"may",2079
"larger",1899
"police",1796
"trend",1639
"islamic",1635
"speculated",1485
"retaliation",1475
"state",1439
"shiite",1418
"posited",1415
"group",1404
"victims",1386
"forces",1358
"attacks",1347
"security",1303
"sunni",1298
"iraq",1254
"military",1206
"related",1165
"sectarian",1150
"members",1139
"area",1083
"protest",1008
"victim",945
"campaign",925
"elections",923
"army",912
"also",892
"response",890
"intimidate",888
"majority",880
"minority",880
"accused",867
"communities",855
"occurred",777
"believed",741
"isil",741
"party",694
"liberation",686
"united",684
"people",673
"levant",649
"taliban",628
"national",602
"maoists",600
"day",597
"order",593
"authorities",589
"targeting",586
"civilians",582
"operations",572
"peoples",569
"new",562
"assailants",559
"groups",557
"recent",537
"killed",529
"muslim",515
"demanded",510
"iraqs",510
"killing",505
"leader",487
"two",481
"states",475
"extremists",472
"local",465
"extortion",461
"front",459
"scheduled",456
"npa",444
"community",437
"death",433
"law",431
"january",430
"stating",427
"destabilize",422
"spokesperson",420
"movement",418
"member",414
"disrupt",412
"algeria",403
"algerian",402
"alshabaab",400
"province",400
"alqaida",390
"intended",387
"revenge",382
"boko",381
"communist",379
"pakistan",377
"haram",373
"militants",370
"abortion",367
"political",362
"demand",359
"abu",348
"began",344
"source",342
"note",330
"time",330
"statement",329
"maoist",327
"president",327
"nationwide",326
"election",322
"informant",322
"due",318
"peace",314
"personnel",314
"target",314
"attempt",311
"working",308
"armed",307
"one",306
"hartal",305
"bangladeshs",304
"sabotage",302
"held",301
"india",300
"officials",297
"opposition",288
"upcoming",283
"ransom",279
"release",279
"days",277
"said",274
"left",267
"enforcement",266
"leave",266
"baghdad",263
"support",256
"attempting",252
"religious",252
"ttp",252
"called",249
"several",247
"aimed",245
"reported",243
"parliamentary",240
"region",239
"war",239
"although",238
"believe",236
"pakistans",236
"exchange",234
"force",233
"strike",233
"fighting",232
"iraqi",231
"alleged",230
"district",229
"rebels",228
"muslims",227
"recently",227
"operation",224
"citizens",223
"ltte",223
"place",223
"city",219
"allegedly",218
"former",218
"aqi",217
"bombing",217
"apostate",216
"prisoners",213
"previous",211
"used",209
"revolutionary",206
"weakening",206
"alqa",205
"ida",204
"pattern",204
"april",201
"money",201
"attacked",200
"construction",200
"baloch",197
"wanted",196
"designed",195
"cpimaoist",192
"station",192
"areas",191
"facilities",191
"christian",190
"known",190
"operating",190
"practice",190
"workers",189
"online",188
"perpetrators",187
"refused",186
"abducted",184
"israeli",184
"prevent",183
"identified",182
"tehrikitaliban",182
"saying",179
"informer",178
"polling",178
"torture",178
"indian",177
"spying",177
"took",177
"land",176
"previously",175
"meant",174
"protecting",173
"released",170
"including",169
"school",169
"campaigns",168
"three",168
"foreign",166
"presidential",166
"organization",162
"council",161
"ongoing",161
"anniversary",159
"general",159
"troops",159
"individual",158
"company",157
"american",156
"involved",156
"mosque",156
"independence",155
"offensive",155
"stop",155
"demands",154
"kill",152
"earlier",151
"prior",151
"targets",151
"afghan",150
"militia",150
"north",150
"afghanistan",148
"aqap",148
"peninsula",148
"recording",147
"arrest",146
"audio",146
"southern",146
"according",145
"oil",145
"somalia",145
"opposed",144
"country",142
"message",142
"work",142
"arabian",141
"involvement",141
"tribal",141
"freedom",140
"motivated",139
"village",139
"individuals",138
"week",138
"pay",137
"tamil",137
"threatened",137
"women",137
"officers",136
"abduction",135
"actions",135
"deaths",135
"democratic",135
"following",135
"free",135
"men",134
"murder",134
"random",134
"development",133
"gspc",133
"syria",132
"perpetrated",130
"warned",130
"often",129
"similar",128
"minister",127
"november",127
"population",127
"scene",127
"christians",126
"governments",126
"indicated",126
"posted",126
"palestinian",125
"resistance",124
"speculate",123
"august",122
"bank",121
"four",121
"leaders",121
"ansar",120
"attempted",120
"increase",120
"central",119
"activities",118
"behind",118
"avenge",117
"soldiers",117
"family",116
"many",116
"mohammed",116
"schools",116
"act",115
"african",115
"control",115
"russian",115
"farc",114
"since",114
"territory",114
"tigers",114
"tripoli",114
"within",113
"commander",112
"pilgrims",112
"shiites",112
"bandh",111
"corsican",111
"separate",111
"suspect",111
"weapons",111
"buddhist",109
"number",109
"attention",107
"homes",107
"lands",107
"puerto",107
"talks",107
"candidate",106
"committee",106
"home",106
"belonging",105
"congress",105
"camp",104
"french",104
"pkk",104
"especially",102
