"word","freq"
"attack",48750
"damaged",38808
"unknown",21765
"property",20040
"damage",14355
"caused",11923
"vehicle",8817
"amount",6784
"house",2867
"vehicles",2863
"destroyed",2844
"building",2702
"police",2653
"damages",2466
"military",1961
"stolen",1885
"unspecified",1851
"explosion",1671
"two",1653
"number",1610
"several",1570
"houses",1516
"bus",1300
"buildings",1289
"one",1288
"school",1201
"station",1179
"car",1163
"windows",1061
"office",992
"nearby",921
"pipeline",921
"shops",875
"home",736
"reported",726
"three",722
"truck",699
"victims",650
"mosque",619
"oil",602
"convoy",589
"tower",582
"bomb",577
"minor",564
"estimated",557
"shop",541
"cars",536
"fire",530
"residence",437
"blast",433
"market",429
"bridge",427
"gas",425
"motorcycle",421
"electricity",414
"civilian",413
"equipment",413
"homes",402
"electrical",401
"post",400
"railway",384
"incident",382
"sustained",373
"church",371
"surrounding",368
"bank",366
"shattered",366
"train",366
"weapons",362
"four",358
"power",351
"restaurant",344
"wall",341
"base",334
"checkpoint",333
"least",332
"trucks",329
"van",321
"exploded",320
"store",315
"done",308
"broken",305
"headquarters",301
"construction",287
"burned",286
"hotel",281
"security",281
"area",279
"center",266
"five",264
"facility",255
"stole",254
"extent",252
"detonated",250
"transmission",242
"set",237
"government",233
"tracks",228
"gate",225
"offices",223
"well",210
"door",209
"track",204
"armored",200
"army",198
"multiple",197
"water",196
"completely",193
"minibus",191
"pylon",186
"window",186
"checkpost",180
"front",175
"six",175
"bombing",170
"device",169
"explosions",168
"money",166
"polling",165
"mobile",164
"motorcycles",162
"hospital",161
"road",159
"arson",156
"also",148
"partially",148
"none",147
"passenger",147
"pylons",147
"walls",143
"buses",142
"stores",140
"badly",139
"phone",139
"attacks",135
"food",134
"room",134
"tanker",134
"airport",130
"high",130
"occurred",130
"ied",129
"explosiondynamite",127
"residences",127
"ammunition",125
"pickup",125
"doors",123
"patrol",121
"plant",119
"livestock",118
"roof",118
"village",117
"blown",116
"embassy",115
"glass",115
"private",114
"million",113
"residential",113
"adjacent",112
"resulted",112
"towers",112
"cafe",111
"looted",111
"camp",110
"hall",110
"helicopter",110
"suffered",110
"inside",108
"radio",108
"compound",107
"furniture",106
"hit",106
"line",103
"lines",103
"including",102
"crater",101
"eight",101
"hole",100
"supply",100
"entrance",99
"across",98
"extensive",97
"jeep",97
"pole",96
"seven",96
"slightly",96
"broke",95
"fuel",95
"floor",94
"tractor",94
"bar",93
"barracks",93
"killed",93
"cattle",92
"company",92
"main",92
"near",92
"tank",92
"machine",91
"seized",91
"targeted",91
"apartment",90
"tankers",90
"grenade",89
"local",89
"machines",87
"left",86
"detonation",85
"mine",85
"rifles",85
"vicinity",85
"details",84
"result",84
"shrine",84
"rooms",83
"national",82
"severely",82
"telephone",82
"incidents",81
"ten",81
"fired",80
"nato",80
"taxi",80
"likely",79
"material",79
"section",79
"service",79
"organization",76
"party",76
"causing",75
"hundred",74
"medical",74
"atm",73
"small",73
"twenty",73
"uncertain",73
"clinic",72
"cut",72
"heavy",72
"structure",72
"cell",71
"north",71
"prison",71
"approximately",70
"given",70
"part",70
"primary",70
"tension",70
"assailants",69
"burnt",69
"monetary",69
"university",69
"addition",68
"atlantic",68
"electric",68
"outside",68
"reports",68
"town",68
"factory",67
"fence",67
"perpetrators",67
"pesos",67
"phones",67
"portion",67
"treaty",67
"complex",66
"whether",66
"railroad",65
"ground",64
"machinery",64
"ministry",64
"related",63
"meters",62
"motorcade",62
"transformer",62
"boundary",61
"outpost",61
"classrooms",60
"large",60
"mortar",60
"parked",60
"targets",60
"city",59
"another",58
"blew",58
"bullets",58
"department",58
"explosive",58
"gunshots",58
"rocket",58
"site",58
"businesses",57
"documents",57
"garage",57
"health",57
"outage",57
"pieces",57
"public",57
"total",57
"warehouse",57
"windowpanes",57
"interior",56
"court",55
"district",55
"explosioncar",55
"generator",55
"goods",55
"liquor",55
"major",55
"vacation",55
"anything",54
"guard",54
"neighboring",54
"along",53
"booth",53
"cash",53
"deactivated",53
"petrol",53
"carrying",52
"heavily",52
"municipal",52
"panes",52
"thrown",52
"tractors",52
"aircraft",51
"ambulance",51
"café",51
"rickshaw",51
"schools",51
"significant",51
"slight",51
"taken",51
"telecommunications",51
"bombed",50
"forces",50
"used",50
"air",49
"smashed",49
"specific",49
"street",49
"bombs",48
"shopping",48
"tanks",48
"although",47
"items",47
"must",47
"personal",47
"refugee",47
"rifle",47
"stalls",47
"blackout",46
"neighborhood",46
"political",46
"banks",45
"huts",45
"parking",45
"torched",45
"transport",45
"computers",44
"depot",44
"derailed",44
"installation",44
"tires",44
"around",43
"attackers",43
"backhoe",43
"ceiling",43
"consulate",43
"dump",43
"failed",43
"attacked",42
"boat",42
"club",42
"college",42
"many",42
"meter",42
"storage",42
"terminal",42
"traffic",42
"twelve",42
"cargo",41
"communications",41
"outer",41
"rail",41
"rockets",41
"worth",41
"container",40
"control",40
"council",40
"stated",40
"structural",40
"united",40
"force",39
"grenades",39
"iraqi",39
"lost",39
"minimal",39
"plane",39
"poles",39
"bulldozer",38
"facade",38
"land",38
"natural",38
"officers",38
"palace",38
"target",38
"collapsed",37
"farm",37
"materials",37
"nine",37
"parts",37
