"word","freq"
"responsibility",101693
"claimed",98374
"group",85738
"attack",69448
"incident",57796
"assailants",56579
"killed",51180
"one",38334
"two",37361
"detonated",34596
"injured",32222
"iraq",31028
"explosive",30181
"police",29191
"device",27815
"however",27468
"people",24924
"city",23506
"blast",23470
"province",23334
"district",22704
"reported",22433
"unknown",22335
"casualties",22307
"sources",21630
"three",21082
"least",20857
"attributed",20412
"near",20084
"area",19433
"fire",19413
"attacks",19155
"attacked",15837
"governorate",15305
"state",14954
"vehicle",14778
"wounded",14578
"pakistan",14068
"baghdad",13184
"opened",13100
"afghanistan",12829
"four",12599
"bomb",11757
"militants",11169
"village",11158
"security",11039
"civilians",10879
"soldiers",10873
"suspected",10824
"islamic",10800
"forces",10591
"india",10230
"others",10006
"incidents",8896
"taliban",8824
"five",8689
"officers",8664
"town",8548
"army",8529
"day",8512
"targeting",8494
"shot",7933
"damage",7790
"fired",7789
"military",7575
"civilian",7523
"neighborhood",7472
"members",7260
"unidentified",7151
"suicide",7112
"party",6807
"armed",6546
"including",6242
"improvised",6188
"officer",6175
"damaged",6055
"six",6049
"bomber",5969
"killing",5831
"defused",5782
"national",5766
"isil",5720
"number",5719
"car",5664
"levant",5647
"discovered",5639
"gunmen",5608
"set",5373
"assailant",4933
"explosivesladen",4930
"seven",4846
"north",4805
"philippines",4802
"abducted",4798
"house",4789
"somalia",4777
"across",4774
"exploded",4697
"related",4688
"person",4669
"devices",4653
"assault",4639
"united",4534
"front",4445
"threw",4410
"liberation",4377
"station",4325
"soldier",4247
"region",4218
"perpetrators",4191
"nigeria",4061
"building",4007
"coordinated",3994
"claim",3977
"caused",3969
"colombia",3947
"also",3937
"responsible",3879
"checkpoint",3875
"patrol",3872
"peoples",3837
"another",3777
"grenade",3777
"residence",3763
"explosion",3762
"kidnapped",3750
"roadside",3745
"eight",3738
"government",3699
"outside",3696
"identified",3675
"balochistan",3638
"tribal",3598
"school",3578
"planted",3576
"road",3519
"local",3499
"thailand",3498
"yemen",3492
"alshabaab",3428
"convoy",3419
"member",3405
"night",3392
"office",3378
"property",3371
"authorities",3344
"monday",3325
"home",3286
"wednesday",3278
"tuesday",3262
"west",3252
"morning",3221
"thursday",3189
"date",3159
"believed",3157
"communist",3128
"khyber",3115
"market",3114
"wounding",3094
"ensuing",3086
"anbar",3060
"sunday",3049
"around",3031
"diyala",2993
"causing",2955
"several",2939
"bus",2932
"amount",2921
"injuring",2844
"injuries",2843
"released",2841
"areas",2838
"workers",2832
"iraqi",2826
"vehicles",2819
"officials",2804
"damages",2791
"damaging",2779
"new",2764
"clash",2750
"carried",2743
"saladin",2692
"motive",2684
"although",2659
"boko",2652
"haram",2646
"targeted",2622
"pakhtunkhwa",2615
"saturday",2596
"friday",2591
"personnel",2581
"mosul",2533
"addition",2529
"afghan",2529
"destroyed",2519
"republic",2492
"states",2450
"attempted",2391
"later",2354
"rebels",2352
"victims",2330
"nine",2323
"central",2317
"rockets",2315
"libya",2303
"kirkuk",2297
"council",2296
"leader",2280
"administered",2244
"bank",2230
"federally",2230
"syria",2225
"found",2217
"explosives",2205
"mosque",2189
"force",2176
"hostages",2174
"nineveh",2147
"maoists",2128
"stated",2128
"along",2126
"similar",2118
"former",2112
"movement",2088
"blasts",2053
"department",2035
"bombs",2031
"occurred",2025
"chief",1991
"attached",1986
"turkey",1983
"ukraine",1983
"evening",1966
"official",1936
"egypt",1935
"outcome",1931
"algeria",1930
"south",1930
"sindh",1926
"motorcycle",1921
"bombing",1907
"democratic",1902
"muslim",1878
"rocket",1851
"northern",1836
"inside",1827
"driver",1819
"khan",1780
"southern",1775
"kidnapping",1774
"men",1772
"arrested",1770
"abu",1766
"nearby",1766
"base",1765
"bombers",1750
"npa",1722
"alqaida",1703
"russia",1702
"sinai",1698
"oil",1697
"mogadishu",1693
"organization",1680
"carrying",1673
"time",1649
"kashmir",1646
"post",1635
"upon",1604
"oblast",1603
"karachi",1601
"revolutionary",1599
"grenades",1577
"borno",1549
"gas",1546
"nepal",1539
"bombings",1535
"border",1530
"israel",1529
"mortar",1506
"guards",1504
"center",1493
"truck",1491
"kurdistan",1479
"buildings",1474
"maoist",1469
"farc",1464
"street",1453
"headquarters",1446
"died",1444
"guard",1439
"resulted",1427
"camp",1426
"company",1425
"ali",1416
"specific",1415
"approximately",1396
"houses",1396
"landed",1389
"attackers",1380
"took",1378
"jammu",1368
"children",1367
"hostage",1359
"may",1347
"target",1343
"pkk",1342
"left",1331
"dead",1326
"involved",1326
"ten",1323
"afternoon",1315
"made",1315
"policemen",1314
"defense",1311
"head",1305
"launched",1305
"struck",1282
"mortars",1280
"extremists",1276
"helmand",1269
"second",1257
"frontier",1236
"ministry",1230
"blew",1225
"used",1223
"union",1218
"following",1215
"unharmed",1212
"resulting",1180
"stating",1161
