"word","freq"
"used",50322
"attack",49355
"explosive",34973
"firearm",18709
"automatic",15138
"unknown",11553
"device",10907
"bomb",10609
"firearms",8041
"roadside",6485
"improvised",6483
"incendiary",5978
"pistol",5620
"grenade",3092
"two",2964
"weapons",2910
"explosives",2902
"explosivesladen",2705
"rockets",2267
"vehicle",2067
"mortars",2051
"grenades",2037
"rocket",1978
"devices",1964
"bombs",1910
"homemade",1773
"rifles",1698
"car",1492
"mine",1316
"mortar",1294
"suicide",1239
"three",1237
"landmine",1234
"rifle",1123
"assault",1100
"knife",1095
"remotecontrolled",1080
"dynamite",1032
"pistols",960
"kilograms",914
"borne",902
"containing",879
"guns",834
"small",820
"planted",816
"caliber",782
"detonated",770
"fire",749
"attached",737
"molotov",725
"petrol",711
"defused",708
"one",701
"machine",676
"rocketpropelled",676
"inside",635
"four",631
"thrown",628
"hidden",613
"weighing",606
"house",604
"placed",588
"remote",583
"gas",577
"kilogram",575
"crude",569
"motorcycle",562
"sniper",554
"made",551
"five",550
"artillery",544
"bomber",536
"fired",535
"multiple",532
"incident",529
"type",496
"gasoline",449
"vehicles",449
"hand",439
"arms",436
"gun",425
"cocktails",416
"shells",390
"rpgs",387
"bag",384
"vest",382
"pipe",376
"propelled",374
"unspecified",371
"stones",369
"concealed",361
"bombing",360
"truck",358
"controlled",357
"launchers",348
"tnt",342
"sharp",331
"knives",325
"explosiveladen",323
"plastic",321
"specific",321
"machetes",314
"cocktail",311
"phone",309
"consisting",304
"land",303
"heavy",298
"belt",297
"number",296
"weapon",296
"silenced",291
"sticky",286
"set",281
"timed",271
"missile",264
"several",260
"landmines",258
"katyusha",257
"six",257
"vests",256
"cylinder",248
"magnetic",246
"mention",246
"missiles",236
"ied",235
"arson",231
"mobile",227
"vehicleborne",225
"attackers",223
"launcher",223
"victims",221
"kalashnikov",218
"letter",216
"filled",213
"armed",211
"grad",210
"box",206
"laden",205
"sticks",203
"package",201
"material",199
"bicycle",198
"shell",198
"eight",197
"firebomb",196
"attacked",194
"shot",193
"seven",192
"can",191
"grams",190
"police",186
"reported",186
"ammonium",183
"nitrate",183
"packed",183
"perpetrators",183
"antitank",180
"nails",180
"millimeter",175
"rounds",175
"battery",174
"rpg",172
"ball",171
